RF_GHz,MeasuredPower_dBm
6,-25.69
6.1,-25.55
6.2,-25.64
6.3,-25.88
6.4,-25.85
6.5,-25.62
6.6,-25.66
6.7,-24.43
6.8,-24.57
6.9,-24.71
7,-22.94
7.1,-22.83
7.2,-22.87
7.3,-21.04
7.4,-21.09
7.5,-20.99
7.6,-19.53
7.7,-19.55
7.8,-19.56
7.9,-18.74
8,-18.78
8.1,-19.24
8.2,-18.99
8.3,-19.06
8.4,-19.07
8.5,-19.3
8.6,-19.13
8.7,-19.26
8.8,-19.1
8.9,-19.15
9,-19.45
9.1,-19.55
9.2,-19.59
9.3,-20.28
9.4,-20.15
9.5,-20.7
9.6,-20.65
9.7,-20.72
9.8,-21.26
9.9,-21.2
10,-21.27
10.1,-22
10.2,-21.96
10.3,-22.03
10.4,-23.26
10.5,-22.23
10.6,-23.23
10.7,-23.46
10.8,-22.49
10.9,-23.6
11,-23.87
11.1,-23.69
11.2,-23.7
11.3,-24.98
11.4,-24.49
11.5,-24.38
11.6,-24.4
11.7,-24.29
11.8,-23.98
11.9,-23.75
12,-23.62
